Category,Ticker,Name,LONG_COMP_NAME,CURRENCY,SOURCE,SW_DETAILED_DESCRIPTION,INDX_DES,INDX_SOURCE,COUNTRY,REGION_OR_COUNTRY,RELEVANCE_VALUE,,,Field
FI,GACGB10 Index,Australia Govt Bonds Generic Y,Australia Govt Bonds Generic Yield 10 Year,AUD,#N/A Invalid Field,#N/A Field Not Applicable,#N/A Field Not Applicable,Bloomberg,AU,AUSTRALIA,#N/A Field Not Applicable,,,
FI,GIND10YR Index,India Govt Bond Generic Bid Yi,India Govt Bond Generic Bid Yield 10 Year,INR,#N/A Invalid Field,#N/A Field Not Applicable,#N/A Field Not Applicable,Bloomberg,IN,INDIA,#N/A Field Not Applicable,,,
FI,LEGATRUU Index,Global Aggregate,Bloomberg Barclays GlobalAgg Total Return Index Value Unhedged USD,USD,#N/A Invalid Field,#N/A Field Not Applicable,"The Bloomberg Barclays Global Aggregate Index is a flagship measure of global investment grade debt from twenty-four local currency markets. This multi-currency benchmark includes treasury, government-related, corporate and securitized fixed-rate bonds from both developed and emerging markets issuers.",Bloomberg Indices,MULT,Europe/Africa,#N/A Field Not Applicable,,,
FI,TNX Index,10-YR YIELD INDEX,Chicago Board Options Exchange 10 Year Treasury Note Yield Index,USD,#N/A Invalid Field,#N/A Field Not Applicable,The Chicago Board Options Exchange 10-Year T-Note Index is based on the yield-to-maturity of the most recently auctioned 10-yr T-note.  The index is calculated by multiplying the T-note YTM by a factor of 10. Ex: YTM 5.75% x 10 = Index Value of 57.50.,Chicago Board Options Exchange,US,North/Latin America,#N/A Field Not Applicable,,,
FI,LUACTRUU Index,U.S. Corp,Bloomberg Barclays US Corporate Total Return Value Unhedged USD,USD,#N/A Invalid Field,#N/A Field Not Applicable,"The Bloomberg Barclays US Corporate Bond Index measures the investment grade, fixed-rate, taxable corporate bond market. It includes USD denominated securities publicly issued by US and non-US industrial, utility and financial issuers.",Bloomberg Indices,US,North/Latin America,#N/A Field Not Applicable,,,
FI,BUHY Index,BBG USD HY Corp,Bloomberg USD High Yield Corporate Bond Index,USD,#N/A Invalid Field,#N/A N/A,"The Bloomberg USD High Yield Corporate Bond Index is a rules-based, market-value weighted index engineered to measure publicly issued non-investment grade USD fixed-rate, taxable, corporate bonds.  To be included in the index a security must have a minimum par amount of 250MM.",Bloomberg Index,P9,#N/A Field Not Applicable,#N/A N/A,,,
FI,BUSC Index,BBG USD IG Corp,Bloomberg US Corporate Bond Index,USD,#N/A Invalid Field,#N/A N/A,"The Bloomberg US Corporate Bond Index is a rules-based market-value weighted index engineered to measure the investment grade, fixed-rate, taxable, corporate bond market.  It includes USD-denominated securities publicly issued by U.S. and non-U.S. corporate issuers.  To be included in the index a security must have a minimum par amount of 250MM.",Bloomberg Index,P9,#N/A Field Not Applicable,#N/A N/A,,,
FI,IBOXHY Index,Liquid High Yield,iBoxx USD Liquid High Yield Index,USD,#N/A Invalid Field,#N/A Field Not Applicable,#N/A Field Not Applicable,iBoxx,US,North/Latin America,#N/A Field Not Applicable,,,
FI,SPBDAL Index,SPLSTAUSAll Loans,S&P/LSTA Leveraged Loan Total Return Index,USD,#N/A Invalid Field,#N/A Field Not Applicable,"The S&P/LSTA Leveraged Loan Index (the Index) is a market value-weighted index designed to measure the performance of the U.S. leveraged loan market based upon market weightings, spreads and interest payments.",Standard & Poor's,US,North/Latin America,#N/A Field Not Applicable,,,
FI,LUATTRUU Index,U.S. Treasury,Bloomberg Barclays US Treasury Total Return Unhedged USD,USD,#N/A Invalid Field,#N/A Field Not Applicable,"The Bloomberg Barclays US Treasury Index measures US dollar-denominated, fixed-rate, nominal debt issued by the US Treasury. Treasury bills are excluded by the maturity constraint, but are part of a separate Short Treasury Index.",Bloomberg Indices,US,North/Latin America,#N/A Field Not Applicable,,,
FI,QW5A Index,IBOXX € CRP OA TR,IBOXX Euro Corporates Overall Total Return Index,EUR,#N/A Invalid Field,#N/A Field Not Applicable,IBOXX Euro Corporates Overall Total Return Index,iBoxx,MULT,Europe/Africa,#N/A Field Not Applicable,,,
FI,LEGATRUH Index,Global Agg TR Hed USD,Bloomberg Barclays Global-Aggregate Total Return Index Value Hedged USD,USD,#N/A Invalid Field,#N/A Field Not Applicable,"The Bloomberg Barclays Global Aggregate Index is a flagship measure of global investment grade debt from twenty-four local currency markets. This multi-currency benchmark includes treasury, government-related, corporate and securitized fixed-rate bonds from both developed and emerging markets issuers.",Bloomberg Indices,MULT,Europe/Africa,#N/A Field Not Applicable,,,
FI,LBEATREU Index,Euro Aggregate,Bloomberg Barclays EuroAgg Total Return Index Value Unhedged EUR,EUR,#N/A Invalid Field,#N/A Field Not Applicable,"The Bloomberg Barclays Euro Aggregate Bond Index is a benchmark that measures the investment grade, euro-denominated, fixed- rate bond market, including treasuries, government-related, corporate and securitized issues. Inclusion is based on currency denomination of a bond and not country of risk of the issuer.",Bloomberg Indices,MULT,Europe/Africa,#N/A Field Not Applicable,,,
FI,IBOXXMJA Index,EUR Liquid High Yield TR,Markit iBoxx EUR Liquid High Yield Index TRI,EUR,#N/A Invalid Field,#N/A Field Not Applicable,#N/A Field Not Applicable,iBoxx,GB,Pacific Rim,#N/A Field Not Applicable,,,
FI,C0A0 Index,US Corp,BofA Merrill Lynch US Corporate Index,USD,#N/A Invalid Field,#N/A Field Not Applicable,The BofA Merrill Lynch US Corporate Index tracks the performance of US dollar denominated investment grade corporate debt publicly issued in the US domestic market. For a full description of this index type C0A0<Index><Go> then click on the Description button on the blue menu bar.,Merrill Lynch,US,North/Latin America,#N/A Field Not Applicable,,,
FI,BERC Index,BBG EUR IG Corp,Bloomberg EUR Investment Grade European Corporate Bond Index,EUR,#N/A Invalid Field,#N/A N/A,"The Bloomberg EUR Investment Grade Corporate Bond Index is a rules-based, market-value weighted index engineered to measure investment grade, fixed-rate securities publicly issued in the European bond market and denominated in EUR.   To be included in the index a security must have a minimum par amount of 250MM.",Bloomberg Index,EC,#N/A Field Not Applicable,#N/A N/A,,,
Commodity Index,BCOM Index,BBG Commodity,Bloomberg Commodity Index,USD,#N/A Invalid Field,#N/A Field Not Applicable,"Bloomberg Commodity Index (BCOM) is calculated on an excess return basis and reflects commodity futures price movements. The index rebalances annually weighted 2/3 by trading volume and 1/3 by world production and weight-caps are applied at the commodity, sector and group level for diversification. Roll period typically occurs from 6th-10th business day based on the roll schedule.",Bloomberg,US,North/Latin America,#N/A Field Not Applicable,,,
Commodity Index,BDIY Index,BALTIC DRY INDEX,Baltic Dry Index,USD,#N/A Invalid Field,#N/A Field Not Applicable,"The Baltic Dry Index (replaces the Baltic Freight Index): A composite of the Baltic Capesize, Panamax, Handysize and Supramax indices. The index is designed as the successor to the Baltic Freight Index and was first published on January 4 1985 at 1000 points.Last day of trading yr - Christmas Eve",#N/A Field Not Applicable,US,Multi-national,#N/A Field Not Applicable,,,
Commodity Index,CRY Index,TR/CC CRB ER Index,Thomson Reuters/CoreCommodity CRB Commodity Index,USD,#N/A Invalid Field,#N/A Field Not Applicable,The TR/CC CRB Excess Return Index is an arithmetic average of commodity futures prices with monthly rebalancing. CRB <Help> for description of index calculation. CCI Index for pricing to index re-construction.,#N/A Field Not Applicable,US,North/Latin America,#N/A Field Not Applicable,,,
Commodity Index,BCOMTR Index,BBG Commodity TR,Bloomberg Commodity Index Total Return,USD,#N/A Invalid Field,#N/A Field Not Applicable,The Bloomberg Commodity Total Return index is composed of futures contracts and reflects the returns on a fully collateralized investment in the BCOM. This combines the returns of the BCOM with the returns on cash collateral invested in 13 week (3 Month) U.S. Treasury Bills.,Bloomberg,US,North/Latin America,#N/A Field Not Applicable,,,
Commodity Index,SPGSCI Index,S&P GSCI Index Spot Indx,S&P GSCI Index Spot CME,USD,#N/A Invalid Field,#N/A Field Not Applicable,S&P GSCI Spot Index The S&P GSCI® is widely recognized as a leading measure of general price movements and inflation in the world economy. It provides investors with a reliable and publicly available benchmark for investment performance in the commodity markets.,Standard & Poor's,US,North/Latin America,#N/A Field Not Applicable,,,
Commodity Index,CVIX Index,Deutsche Bank FX Volatility In,Deutsche Bank FX Volatility Index,#N/A Field Not Applicable,#N/A Invalid Field,#N/A Field Not Applicable,#N/A Field Not Applicable,Deutsche Bank AG,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,,,
Commodity Index,SPGSCITR Index,S&P GSCI Tot Return Indx,S&P GSCI Total Return CME,USD,#N/A Invalid Field,#N/A Field Not Applicable,"The S&P GSCI Total Return Index in USD is widely recognized as the leading measure of general commodity price movements and inflation in the world economy. Index is calculated primarily on a world production weighted basis, comprised of the principal physical commodities futures contracts.",Standard & Poor's,US,North/Latin America,#N/A Field Not Applicable,,,
Commodity Index,BCOMIN Index,BBG Industrial Metals,#N/A Field Not Applicable,USD,#N/A Invalid Field,#N/A Field Not Applicable,#N/A Field Not Applicable,Bloomberg,US,#N/A Field Not Applicable,#N/A Field Not Applicable,,,
Commodity Index,ISPPDR29 Index,inSpectrum Tech Inc DRAM Spot,inSpectrum Tech Inc DRAM Spot Price DDR3 4Gb 512Mx8 1333/1600MHz,USD,#N/A Invalid Field,#N/A Field Not Applicable,#N/A Field Not Applicable,inSpectrum Tech,TA,TAIWAN,#N/A Field Not Applicable,,,
Commodity Index,SPGCCLP Index,S&P GSCI Crude Oil Official Cl,S&P GSCI Crude Oil Official Close Index ER,USD,#N/A Invalid Field,#N/A Field Not Applicable,#N/A Field Not Applicable,Standard & Poor's Index Alert,US,UNITED STATES,#N/A Field Not Applicable,,,
Commodity Index,SHSPCCFI Index,Shanghai Shipping Exchange Chi,Shanghai Shipping Exchange China (Export) Containerized Freight Index,#N/A Field Not Applicable,#N/A Invalid Field,#N/A Field Not Applicable,#N/A Field Not Applicable,Shanghai Shipping Exchange,CH,CHINA,#N/A Field Not Applicable,,,
Commodity Index,BCOMCL Index,BBG WTI Crude Oil,#N/A Field Not Applicable,USD,#N/A Invalid Field,#N/A Field Not Applicable,#N/A Field Not Applicable,Bloomberg,US,#N/A Field Not Applicable,#N/A Field Not Applicable,,,
Commodity Index,SHSPSCFI Index,Shanghai Shipping Exchange Sha,Shanghai Shipping Exchange Shanghai (Export) Containerized Freight Index,#N/A Field Not Applicable,#N/A Invalid Field,#N/A Field Not Applicable,#N/A Field Not Applicable,Shanghai Shipping Exchange,CH,CHINA,#N/A Field Not Applicable,,,
Commodity Index,ABFS Index,Australian Bond Futures Spread,Australian Bond Futures Spread Between XMA And YMA,AUD,#N/A Invalid Field,#N/A Field Not Applicable,#N/A Field Not Applicable,Bloomberg,AU,AUSTRALIA,#N/A Field Not Applicable,,,
Commodity Index,BCOMAG Index,BBG Agriculture,Bloomberg Agriculture Subindex,USD,#N/A Invalid Field,#N/A Field Not Applicable,"Formerly known as Dow Jones-UBS Agriculture Subindex (DJUBSAG), the index is a commodity group subindex of the Bloomberg CI. It is composed of futures contracts on coffee, corn, cotton, soybeans, soybean oil, soybean meal, sugar and wheat. It reflects the return of underlying commodity futures price movements only and is quoted in USD.",Bloomberg,US,North/Latin America,#N/A Field Not Applicable,,,
Commodity Index,LSCA Index,LME COPPER TOTAL,#N/A Field Not Applicable,GBP,#N/A Invalid Field,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,GB,Global,#N/A Field Not Applicable,,,
Commodity Index,SALIRSKP Index,Salient Risk Parity Index,Salient Risk Parity Index,USD,#N/A Invalid Field,#N/A Field Not Applicable,#N/A Field Not Applicable,Salient Partners LP,US,UNITED STATES,#N/A Field Not Applicable,,,
Commodity Index,BIDY Index,BALTIC DIRTY TANKER IX,Baltic Exchange Dirty Tanker Index,USD,#N/A Invalid Field,#N/A Field Not Applicable,The Baltic Dirty Tanker Index is made up from 12 routes taken from the Baltic International Tanker Routes. Rate assessments are quoted in Worldscale rates. Introduced in 2001. See BFX<GO> for routes.,#N/A Field Not Applicable,US,Multi-national,#N/A Field Not Applicable,,,
Commodity Index,ECRSUSCP Index,JoC-ECRI Industrial Price Inde,JoC-ECRI Industrial Price Index,USD,#N/A Invalid Field,#N/A Field Not Applicable,#N/A Field Not Applicable,Economic Cycle Research Instit,US,UNITED STATES,#N/A Field Not Applicable,,,
Commodity Index,NWMPAWIN Index,New Zealand GDT WMP (Whole Mil,New Zealand GDT WMP (Whole Milk Powder) Average Winning Price,USD,#N/A Invalid Field,#N/A Field Not Applicable,#N/A Field Not Applicable,Fonterra GlobalDairyTrade,NZ,NEW ZEALAND,25,,,
Other,USGG10YR Index,US Generic Govt 10 Year Yield,US Generic Govt 10 Year Yield,USD,#N/A Invalid Field,#N/A Field Not Applicable,#N/A Field Not Applicable,Bloomberg,US,UNITED STATES,#N/A Field Not Applicable,,,
Other,GDBR10 Index,Germany Generic Govt 10Y Yield,Germany Generic Govt 10Y Yield,EUR,#N/A Invalid Field,#N/A Field Not Applicable,#N/A Field Not Applicable,Bloomberg,GE,GERMANY,#N/A Field Not Applicable,,,
Other,US0003M Index,ICE LIBOR USD 3 Month,ICE LIBOR USD 3 Month,USD,#N/A Invalid Field,#N/A Field Not Applicable,#N/A Field Not Applicable,ICE Benchmark Administration,US,UNITED STATES,#N/A Field Not Applicable,,,
Other,USGG30YR Index,US Generic Govt 30 Year Yield,US Generic Govt 30 Year Yield,USD,#N/A Invalid Field,#N/A Field Not Applicable,#N/A Field Not Applicable,Bloomberg,US,UNITED STATES,#N/A Field Not Applicable,,,
Other,USGG5YR Index,US Generic Govt 5 Year Yield,US Generic Govt 5 Year Yield,USD,#N/A Invalid Field,#N/A Field Not Applicable,#N/A Field Not Applicable,Bloomberg,US,UNITED STATES,#N/A Field Not Applicable,,,
Other,US0001M Index,ICE LIBOR USD 1 Month,ICE LIBOR USD 1 Month,USD,#N/A Invalid Field,#N/A Field Not Applicable,#N/A Field Not Applicable,ICE Benchmark Administration,US,UNITED STATES,#N/A Field Not Applicable,,,
Other,USGG2YR Index,US Generic Govt 2 Year Yield,US Generic Govt 2 Year Yield,USD,#N/A Invalid Field,#N/A Field Not Applicable,#N/A Field Not Applicable,Bloomberg,US,UNITED STATES,#N/A Field Not Applicable,,,
Other,GUKG10 Index,UK Govt Bonds 10 Year Note Gen,UK Govt Bonds 10 Year Note Generic Bid Yield,GBP,#N/A Invalid Field,#N/A Field Not Applicable,#N/A Field Not Applicable,Bloomberg,GB,BRITAIN,#N/A Field Not Applicable,,,
Other,GJGB10 Index,Japan Generic Govt 10Y Yield,Japan Generic Govt 10Y Yield,JPY,#N/A Invalid Field,#N/A Field Not Applicable,#N/A Field Not Applicable,Bloomberg,JN,JAPAN,#N/A Field Not Applicable,,,
Other,EUR003M Index,Euribor 3 Month ACT/360,Euribor 3 Month ACT/360,EUR,#N/A Invalid Field,#N/A Field Not Applicable,#N/A Field Not Applicable,European Money Markets Institu,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,,,
Other,USGGBE10 Index,US Breakeven 10 Year,US Breakeven 10 Year,USD,#N/A Invalid Field,#N/A Field Not Applicable,#N/A Field Not Applicable,Bloomberg,US,UNITED STATES,#N/A Field Not Applicable,,,
Other,EONIA Index,EMMI EURO OverNight Index Aver,EMMI EURO OverNight Index Average,EUR,#N/A Invalid Field,#N/A Field Not Applicable,#N/A Field Not Applicable,European Money Markets Institu,TE,EUROZONE,#N/A Field Not Applicable,,,
Other,HICNHON Index,TMA ON CNH Hong Kong InterBank,TMA ON CNH Hong Kong InterBank Offered Rate (CNH Hibor) Fixing,CNH,#N/A Invalid Field,#N/A Field Not Applicable,#N/A Field Not Applicable,Treasury Markets Association,HK,HONG KONG,#N/A Field Not Applicable,,,
Other,GBTPGR10 Index,Italy Generic Govt 10Y Yield,Italy Generic Govt 10Y Yield,EUR,#N/A Invalid Field,#N/A Field Not Applicable,#N/A Field Not Applicable,Bloomberg,IT,ITALY,#N/A Field Not Applicable,,,
Other,CNYMUSD Index,CFETS USD/CNY Mid Rate,CFETS USD/CNY Mid Rate,CNY,#N/A Invalid Field,#N/A Field Not Applicable,#N/A Field Not Applicable,National Interbank Funding Cen,CH,CHINA,#N/A Field Not Applicable,,,
Other,US0006M Index,ICE LIBOR USD 6 Month,ICE LIBOR USD 6 Month,USD,#N/A Invalid Field,#N/A Field Not Applicable,#N/A Field Not Applicable,ICE Benchmark Administration,US,UNITED STATES,#N/A Field Not Applicable,,,
